interaction_id,question_id,Problem,category,student_id,student_process,concepts_of_the_problem,concepts_lacking_in_student,response
759,4776,"two trains start from p and q respectively and travel towards each other at a speed of 50 km / hr and 40 km / hr respectively . by the time they meet , the first train has traveled 100 km more than the second . the distance between p and q is ?",physics,2,A same they have traveled $X$ hours when they meet. $$ \begin{aligned} & (50-40) \cdot x=100 \\ & \Rightarrow 10 x=100 \\ & \Rightarrow x=100 \div 10=10 \\ & (50+40) \times 10 \\ & =90 \times 10 \\ & =900 \end{aligned} $$,Distance-Time-Speed && Relative Speed,No,1
760,3319,machine a and machine b are each used to manufacture 440 sprockets . it takes machine a 10 hours longer to produce 440 sprockets than machine b . machine b produces 10 percent more sprockets per hour than machine a . how many sprockets per hour does machine a produces ?,gain,2,Assume machine a produces $\chi$ sprockets per hour. $$ \begin{aligned} & \left(\frac{440}{x}\right)-10=\left(\frac{440}{1.1 x}\right) \\ & \stackrel{x}{\Rightarrow} 440-10 x=\frac{440}{1.1} \\ & \stackrel{x 1.1}{\Rightarrow} 484-11 x=440 \\ & \Rightarrow 11 x=484-440 \\ & \Rightarrow x=44 \div 11=4 \end{aligned} $$,Workload-Time-Speed,No,1
761,5629,"the length of the bridge , which a train 125 m long and traveling at 45 km / hr can cross in 30 sec is ?",physics,2,"\begin{aligned} & 45 \mathrm{~km}=45000 \mathrm{~m} \\ & 4500 \div 60 \div 60 \\ & =750 \div 60 \\ & =12,5 \mathrm{~m} / \mathrm{sec} . \\ & 12,5 \times 30=375 \mathrm{~m} \\ & 375-125=250 \end{aligned}",Distance-Time-Speed && Unit Conversion,No,1
762,3600,"if there are 4 peanuts in a box and mary puts 8 more peanuts inside , how many peanuts are in the box ?",general,2,$4+8=12 $ A1 there are 12 peanuts in the box.,Basic Math Operations,No,1
763,949,a man sells an article at 10 % gain . had be sold at for rs . 60 / - more he could have gained 20 % what is cost price of article,general,2,Assume the cost price is $x$ Original Selling price is $$ \begin{gathered} \Rightarrow x \cdot(1+10 \%)=1.1 x \\ \$ 60 \Rightarrow \text { gain } 20 \% \\ x \cdot(1+20 \%)=60 \\ \Rightarrow 1.2 x=60 \\ \Rightarrow x=50 \end{gathered} $$,Profit,Profit,0
764,430,"a starts business with rs . 3500 and after 5 months , b joins with a as his partner . after a year , the profit is divided in the ratio 2 : 3 . what is b ' s contribution in the capital",other,2,3500 \div \frac{2}{3+2}=3500 \times \frac{2}{5}=1400,Ratio Calculation,Ratio Calculation,0
765,830,the s . i . on a certain sum of money for 5 years at 6 % per annum is half the c . i . on rs . 3000 for 2 years at 15 % per annum . the sum placed on s . i . is ?,gain,2,\begin{aligned} & (3000) \times(1.15)^2 \\ & =3000 \times(1.3225) \\ & =3967.5 \end{aligned},Simple Interest && Compound Interest,No,0
766,4093,"if 70 percent of a class answered the first question on a certain test correctly , 55 percent answered the second question on the test correctly , and 20 percent answered neither of the questions correctly , what percent answered both correctly ?",other,2,"$$ 1-0,2=0,8 $$ $\Rightarrow$ total percent of the 2 circles Assume answer both correct is $X$. $$ \begin{aligned} & 0.1+0.55-x=0.8 \\ & \Rightarrow x=1.25-0.8=0.45 \end{aligned} $$",Inclusion-Exclusion Principle,No,1
767,940,the percentage profit earned by selling an article for rs . 1920 is equal to the percentage loss incurred by selling the same article for rs . 1280 . at what price should the article be sold to make 20 % profit ?,gain,2,"Assume the cost is $x$ $$ \begin{aligned} & \frac{1920-x}{x}=\frac{x-1280}{x} \\ \Rightarrow & 1920-x=x-1280 \\ \Rightarrow & 2 x=1920+1280=320 \\ \Rightarrow & x=1600 \end{aligned} $$ Assume the price is $y$ to yet $20 \%$ profit. $$ \begin{aligned} & \frac{(y-160)}{1600}=0,2 \\ & x \times 1000 \\ & \Rightarrow y-1600=30 \\ & \Rightarrow y=320+160=1920  \end{aligned} $$",Profit && Loss,No,1
768,5613,"an escalator moves towards the top level at the rate of 15 ft . sec and its length is 180 feet . if a person walks on the moving escalator at the rate of 3 feet per second towards the top level , how much time does he take to cover the entire length .",gain,2,"$$ 15+3=18 \mathrm{ft} / \mathrm{sec} $$ $\Rightarrow$ the speed toward the top level per seconds, $$ 180 \div 18=10  $$",Distance-Time-Speed && Relative Speed,No,1
769,936,"in an election between two candidates , one got 55 % of the total valid votes , 20 % of the votes were invalid . if the total number of votes was 5000 , the number of valid votes that the other candidate got , was :",gain,2,"\begin{aligned} & 5000 \times(1-20 \%) \\ & =5000 \times 0,8 \\ & =4000 \\ & \Rightarrow \text { vallid votes } \\ & 4000 \times(1-55 \%) \\ & =4000 \times 0.45 \\ & =1800 \end{aligned}",Ratio Calculation,No,1
770,6109,"at an upscale fast - food restaurant , shin can buy 3 burgers , 7 shakes , and one cola for $ 120 . at the same place it would cost $ 162.50 for 4 burgers , 10 shakes , and one cola . how much would it cost for a meal of one burger , one shake , and one cola ?",general,2,"Assume the price of one burger is $X$, shake is $y$, cola is $z$. $$ \left\{\begin{array}{l} 3 x+7 y+z=120-(1) \\ 4 x+10 y+z=162.5-\text { (2) } \end{array}\right. $$ (2) $-(1)$ $$ \begin{aligned} & \Rightarrow x+3 y=42.5-(3) \\ & \text { (1)- (3) } \times 2 \\ & \Rightarrow x+y+z=120-85=35 \end{aligned} $$",Expression and Operations with Symbols,No,1
771,5007,"a multiple choice test consists of 4 questions , and each question has 5 answer choices . in how many q ways can the test be completed if every question is unanswered ?",general,2,There are 0~5 answer can choose in every question. $$ 2^5=32 $$ $\Rightarrow$ every choice can choose and don't choose. $$ 32 \times 4=128  $$,Permutations and Combinations,No,0
772,846,find the value of ( 70 + 28 / 100 )  100,general,2,\begin{aligned} & \left(70+\frac{28}{100}\right) \times 100 \\ & =\left(\frac{7028}{100}\right) \times 100 \\ & =7028  \end{aligned},Basic Math Operations,No,1
773,3197,"a watch was sold at a loss of 10 % . if it was sold for rs . 210 more , there would have been a gain of 4 % . what is the cost price ?",gain,2,"Assume the cost price is $x$. $$ \begin{aligned} & (0,9 x+210)=1.04 x \\ & \Rightarrow 0,14 x=210 \\ & \Rightarrow x=\frac{210}{0.14}=1500  \end{aligned} $$",Profit && Loss,No,1
774,907,find the value of ( 950 + 220 / 900 )  900,general,2,\begin{aligned} & \left(950+\frac{220}{900}\right) \times 900 \\ & =(950 \times 900)+\left(\frac{220}{900} \times 900\right) \\ & =855000+220 \\ & =855220 \end{aligned},Basic Math Operations,No,1
775,3245,"for the past n days , the average ( arithmetic mean ) daily production at a company was 50 units . if today ' s production of 60 units raises the average to 55 units per day , what is the value of n ?",general,2,\begin{aligned} & \frac{(50 n+60)}{(n+1)}=55 \\ & \stackrel{x(n+1)}{\Rightarrow}(50 n+60)=55(n+1) \\ & \Rightarrow 50 n+60=55 n+55 \\ & \Rightarrow 5 n=5 \\ & \Rightarrow n=1 \end{aligned},Arithmetic Mean,No,1
776,546,"if the arithmetic mean of seventy 5 numbers is calculated , it is 35 . if each number is increased by 5 , then mean of new number is ?",general,2,$75 \times 35=2625$ $\Rightarrow$ total number $$ \begin{aligned} & \frac{2625+(5 \times 75)}{75} \\ & =35+5 \\ & =40 \end{aligned} $$,Arithmetic Mean,No,1
777,4823,how many trailing zeroes does 53 ! + 54 ! have ?,other,2,"$$ \begin{aligned} & 53 !+54 ! \\ & \begin{array}{r} =(53 \times 52 \times 51 \times \cdots \times 2 \times 1)+\left(54 \times 53 \times r_2 \times \cdots \times 2\right. \\ \times 1) \end{array} \\ & =(53 \times 52 \times 51 \times \operatorname{in} \times 2 \times 1)(54+1) \\ & 5 \times 2=10 \Rightarrow \text { one zero } \\ & 5^2 \times 2^2=25 \times 4=100 \Rightarrow \text { two zeroes } \\ & \text { between } 1 \sim 53 \& 55 \\ & \Rightarrow \text { the multiples of } 5 \text { are } \\ & 5,10,15,20,25,10,35,40,45,50,55 \\ & \Rightarrow 11 \text { zeroes } \\ & \end{aligned} $$ and the multiples of 25 are 25,50 $$ \begin{aligned} \rightarrow & (2 \times 2)-2=2 \text { zeroes } \\ & 11+2=13 \# \end{aligned} $$",Factorial,No,1
778,5273,how many cubes of 50 cm edge can be put in a cubical box of 1 m edge .,physics,2,\begin{aligned} & 1 m=100 \mathrm{~cm} \\ & 100 \mathrm{~cm} \times 100 \mathrm{~cm} \times 100 \mathrm{~cm}=1000000 \mathrm{~cm}^3 \\ & 50 \mathrm{~cm} \times 50 \mathrm{~cm} \times 50 \mathrm{~cm}=125000 \mathrm{~cm}^7 \\ & 1000000 \div 125000 \\ & =8  \end{aligned},Volume Calculation && Unit Conversion,No,1
779,5925,"two different primes may be said torhymearound an integer if they are the same distance from the integer on the number line . for instance , 3 and 7 rhyme around 5 . what integer w between 1 and 20 , inclusive , has the greatest number of distinct rhyming primes around it ?",physics,2,"$$ \begin{aligned} & \because \quad 20 \rightarrow 1 \& 39,2 \& 38,3 \& 37 ; \cdots 17 \& 23, \\ & 18 \& 22,19 \& 21 \Rightarrow 2 \times 19=38 \text { numbers } \\ & 19 \rightarrow 1 \& 37,2 \& 36,3 \& 35, \cdots 16 \& 22,17 \& 21, \\ & 18 \& 20 \Rightarrow 2 \times 18=36 \text { numbers } \end{aligned} $$ $\therefore 20$ has the greatest number of distinct rhyming prime around it. ",Prime,Prime,0
780,5780,one boss decided to increase the salary of an employee by 5 % . how much will he get if his salary was rs . 2000 ?,general,2,\begin{aligned} & 2000 \times(1+5 \%) \\ & =2000 \times 1.05 \\ & =2100 \end{aligned},Ratio Calculation,No,1
781,899,a group of n students can be divided into equal groups of 4 with 1 student left over or equal groups of 7 with 3 students left over . what is the sum of the two smallest possible values of n ?,general,2,$$ \begin{aligned} & n \div 4=a \cdots \cdot \Rightarrow(n-1)=4 a \\ & n \div 7=b \cdots n 3 \Rightarrow(n-3)=7 b \end{aligned} $$ $a \& b$ are integers. $$ \begin{aligned} & b=1 \Rightarrow n=10 \Rightarrow a=\frac{9}{4} \Rightarrow \text { wrong } \\ & b=2 \Rightarrow n=17 \Rightarrow a=4 \Rightarrow \text { correct } \\ & b=3 \Rightarrow n=24 \Rightarrow a=\frac{23}{4} \Rightarrow \text { wrong } \\ & b=4 \Rightarrow n=31 \Rightarrow a=\frac{30}{4}=\frac{13}{2} \Rightarrow \text { wrong } \\ & b=5 \Rightarrow n=38 \Rightarrow a=\frac{37}{4} \Rightarrow \text { wrong } \\ & b=6 \Rightarrow n=45 \Rightarrow a=11 \Rightarrow \text { correct } \\ & 17+45=62 \Rightarrow \end{aligned} $$,Expression and Operations with Symbols,No,1
782,5348,"the average of the marks of 12 students in a class is 50 . if the marks of each student are doubled , find the new average ?",general,2,\begin{aligned} & \text { Total score }=50 \times 12=600 \\ & 600 \times 2=1200 \\ & 1200 \div 12=100 \end{aligned},Arithmetic Mean,No,1
783,3224,"one millisecond is 0.001 of a second . the costs for a single run of a computer program are $ 1.07 for operating - system overhead , $ 0.023 per millisecond of computer time , and $ 5.35 for the mounting of a data tape . what is the total of these 3 costs for 1 run of a program that requires 1.5 seconds of computer time ?",general,2,"\begin{aligned} & 1.5 \text { seconds }=1500 \text { milliseconds } \\ & (1500 \times 0.023)+1.07+5.35 \\ & =34.5+6.42 \\ & =40,92 \end{aligned}",Unit Conversion && Basic Math Operations,No,1
784,5264,what are the last two digits of ( 301 * 402 * 503 * 604 * 646 * 547 * 448 * 349 ) ^ 2,general,2,"the last number of 301 is 1, 402 is 2,503 is 3, 604 is 4 ,646 is 6, 547 is 7,448 is 8,749 is 9 $$ \begin{aligned} & \because 1 \times 2 \times 3 \times 4 \times 6 \times 7 \times 8 \times 4 \\ & =24 \times 42 \times 72=72376 \end{aligned} $$ the last two number of $\eta_{23} 76$ are 76 . $$ (76)^2=5776 $$ $\therefore$ the last two digits of $(301 \times 402 \times$ $503 \times 604 \times 646 \times 547 \times 448 \times 344)^2$ are $76 $",Basic Math Operations,No,1
785,957,a man took loan from a bank at the rate of 12 % p . a . s . i . after 20 years he had to pay rs . 1500 interest only for the period . the principal amount borrowed by him was ?,gain,2,"interest rate $=12 \%$ Assume by borrowed $\$ x$ $$ \begin{aligned} & x \cdot(0,12) \cdot 20=1500 \\ & \Rightarrow 0,12 x=75 \\ & \Rightarrow x=75 \div 0.12=625 \# \end{aligned} $$",Simple Interest,No,1
786,861,"a circle graph shows how the budget of a certain company was spent : 61 percent for salaries , 10 percent for research and development , 6 percent for utilities , 5 percent for equipment , 3 percent for supplies , and the remainder for transportation . if the area of each sector of the graph is proportional to the percent of the budget it represents , how many degrees of the circle are used to represent transportation ?",geometry,2,"$$ \begin{aligned} & 100 \%-61 \%-10 \%-6 \%-5 \%-3 \% \\ & =15 \% \\ & 360 \div 100=3.6^{\circ} \end{aligned} $$ per percent is $3.6^{\circ}$ $$ \left(3,6^{\circ}\right) \times 15=54^{\circ} $$",Ratio Calculation,No,1
787,4370,"there are 59 people that own pets . 15 people own only dogs , 10 people own only cats , 5 people own only cats and dogs , 3 people own cats , dogs and snakes . how many total snakes are there ?",general,2,own dog \& snake $\Rightarrow x$ own cat \& snake $\Rightarrow y$ own only snake $\Rightarrow z$ $$ \begin{aligned} & x+y+z=59-15-5-10-3=26 \\ & 26+3=29 \end{aligned} $$,Fundamental Counting Principles,No,1
788,593,"at scratch and dents rent - a - car , it costs $ 34.95 a day plus $ 0.23 per mile to rent a car . at rent - a - lemon , the charge is $ 25.00 a day plus $ 1.31 per mile . if you need to rent a car for 3 days , how many miles ( to nearest tenth ) must you drive for a car from both agencies to cost the same amount ?",general,2,Assume drive $X$ miles $$ \begin{aligned} & (34.95 \times 3)+(0.23 x)=(25.00 \times 3)+(1.31 x) \\ \Rightarrow & 104.85+0.23 x=75+1.31 x \\ \Rightarrow & 104.85-73=1.31 x-0.23 x \\ \Rightarrow & 29.85=1.08 x \\ \Rightarrow & x=27.64 \end{aligned} $$,Expression and Operations with Symbols && Exact Value,No,1
789,3148,anil brought a scooter for a certain sum of money . he spent 10 % of the cost on repairs and sold the scooter for a profit of rs . 1100 . how much did he spend on repairs if he made a profit of 20 % ?,gain,2,Assume anil cost $\$ x$ to buy a scooter $$ \begin{aligned} & {\left[x \cdot\left(1+10^{\circ} \%\right)\right] \cdot\left(1+20 \%\right)=1100} \\ & \Rightarrow 1.1 x=\frac{1100}{1.2} \\ & \Rightarrow x=\frac{11100}{1.2} \div 1.1=\frac{1000}{1.2} =833 \\ & 833 \times 0.1=83.3 \end{aligned} $$,Profit,Profit,0
790,730,a dealer purchases 15 articles for rs . 25 and sells 12 articles for rs . 35 . find the profit percentage ?,gain,2,\begin{aligned} & (35-25) \div 25 \\ & =10 \div 25 \\ & =40 \% \end{aligned},Profit,Profit,0
791,592,how many digits are required to number a book containing 250 pages ?,general,2,I $9 \Rightarrow 1$ digit $10 \sim 99 \Rightarrow 2$ digits $100 \sim 230 \Rightarrow 3$ digits $$ \begin{aligned} & |\times 9+2 \times 90+3 \times| 5 \mid \\ & =9+180+433 \\ & =462+180 \\ & =642 \end{aligned} $$,Basic Math Operations,No,1
792,4872,"on the first day of her vacation , louisa traveled 200 miles . on the second day , traveling at the same average speed , she traveled 350 miles . if the 200 - mile trip took 3 hours less than the 350 - mile trip , what was the average speed , in miles per hour ?",physics,2,Assume the average speed is $X$ miles/per hour $$ \begin{aligned} & \frac{200}{x}+3=\frac{350}{x} \\ \Rightarrow & 200+3 x=350 \\ \Rightarrow & 3 x=350-200=150 \\ \Rightarrow & x=150 \div 3=50 \end{aligned} $$,Distance-Time-Speed,No,1
793,4752,the expression ( 11.98  11.98 + 11.98  x + 0.02  0.02 ) will be a perfect square for x equal to,general,2,"(11,98 \times 11,98+11,98 \cdot x+0,02 \times 0,02)=y^2$ If $x=0.04$ $$ \begin{aligned} & \Rightarrow(11.98 \times 11,98+11.98 \times 0.04+0.02 \times 0.02) \\ & =(11.98 \times 11.48+11.98 \times 0.02)+(1198 \times 0.02+0.02 \times 0.02) \\ & =11.98 \times(11,98+0,02)+(11.98+0,02) \times 0,02 \\ & =11,98 \times 12+12 \times 0,02 \\ & =(11.98+0,02) \times 12 \\ & =12 \times 12=12^2 \\ & \end{aligned} $$ so $x=0.04$",Square of the Sum,No,1
794,757,a salesman commission is 5 % on all sales upto $ 10000 and 4 % on all sales exceeding this . he remits $ 31100 to his parent company after deducting his commission . find the total sales ?,general,2,$31100>10000$ $\Rightarrow$ commission is $4 \%$ $$ \begin{aligned} & 31100 \div(1-4 \%) \\ & =31100 \div 0.96 \\ & = 32396  \end{aligned} $$,Ratio Calculation,No,0
795,5313,what is the greatest prime factor of ( 11 !  10 !  + 10 !  9 ! ) / 111 ?,general,2,$$ \begin{aligned} & (11 ! \times 10 !+10 ! \times 9 !) \div 111 \\ = & {[(11 !+9 !) \times 10 !] \div 111 } \\ = & {[(39916800+362880) \times 3628800] \div 111 } \\ = & 40279680 \times 3628800 \div 111 \\ = & 362880 \times 3628800 \\ = & \left(2^9 \times 3^4 \times 5 \times 7\right) \times\left(2^8 \times 3^4 \times 5^2 \times 7\right) \\ = & \left(2^{15} \times 3^8 \times 5^7 \times 7^2\right. \end{aligned} $$ A 7,Prime Factorization && Factorial,No,1
